Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
11,Timo Werner,Premier League,Delantero,326,10,880,10,5,0,6,0.61,4,0.4,9,0.8,0.28,43,4.40,0.43,0,0,15,1.53,5,0.51,0.25,7,0.7,0,2,0,0.2,0.82,8,0.82,0.5,75,7.67,1,0.10,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
22,Hakim Ziyech,Premier League,Centrocampista,327,6,375,4,3,2,0,0.00,1,0.2,3,0.1,0.04,14,3.36,0.27,0,0,7,1.68,6,1.44,0.38,8,1.3,1,3,2,0.5,0.78,13,3.12,0.45,43,10.32,1,0.24,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
16,Edouard Mendy,Premier League,Portero,314,6,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,40,10,1,0.2,9,0.9,175,160,26.7,0.91,0.3,1,5,0.49,5,0.03
1,Alisson,Premier League,Portero,308,8,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,54,21,8,1.0,13,0.62,226,200,25.0,0.88,0.9,1,3.9,0.39,2,0.088
1,Hugo Lloris,Premier League,Portero,304,10,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,107,35,9,0.9,27,0.75,255,232,23.2,0.91,0.1,1,4.2,0.39,4,0.074
31,Ederson Moraes,Premier League,Portero,295,9,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,67,28,11,1.2,17,0.61,251,224,24.9,0.89,0.4,0.67,4.5,0.48,4,0.098
1,Alex McCarthy,Premier League,Portero,292,10,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,98,49,16,1.6,33,0.67,348,286,28.6,0.82,0.5,1,5,0.28,4,0.15
11,Zlatan Ibrahimovic,Serie A,Delantero,374,6,559,6,1,0,4,0.64,10,1.7,16,1.5,0.90,3,0.48,0.51,0,0,6,0.97,7,1.13,0.58,14,2.3,2,1,0,0.2,0.73,8,1.29,0.17,78,12.56,5,0.81,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
7,Cristiano Ronaldo,Serie A,Delantero,352,5,395,4,1,1,2,0.46,8,1.6,13,1.9,0.56,14,3.19,0.45,0,0,3,0.68,4,0.91,0.54,8,1.6,0,0,0,0.0,0.83,7,1.59,0.29,35,7.97,1,0.23,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
77,Henrikh Mkhitaryan,Serie A,Centrocampista,336,9,829,9,1,0,0,0.00,5,0.6,15,0.2,0.53,26,2.82,0.34,0,0,10,1.09,12,1.30,0.1,26,2.9,0,4,3.4,0.4,0.81,18,1.95,0,76,8.25,9,0.98,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
13,Andrea Ranocchia,Serie A,Defensa,336,3,266,3,1,0,0,0.00,0,0.0,1,0.1,0.08,2,0.68,0.7,2.7,2,0,0.00,30,10.15,0.75,11,3.7,1,1,0,0.3,0.97,1,0.34,0,6,2.03,7,2.37,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
9,Romelu Lukaku,Serie A,Delantero,335,8,582,6,1,2,6,0.93,7,0.9,10,1.1,0.60,17,2.63,0.39,0,0,12,1.86,3,0.46,0.24,6,0.8,1,2,0,0.3,0.85,8,1.24,0.67,77,11.91,1,0.15,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
19,Berat Djimsiti,Serie A,Defensa,335,7,568,6,1,1,0,0.00,0,0.0,0,0.0,0.00,4,0.63,0.82,0.4,1.6,8,1.27,70,11.09,0.91,53,7.6,3,0,0,0.0,0.91,0,0.00,0,20,3.17,24,3.80,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
19,Theo Hernandez,Serie A,Defensa,334,9,865,9,0,0,0,0.00,1,0.1,5,0.3,0.15,30,3.12,0.62,1,2,11,1.14,51,5.31,0.61,33,3.7,3,2,0,0.2,0.82,10,1.04,0.25,56,5.83,10,1.04,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
2,Achraf Hakimi,Serie A,Defensa,331,9,543,5,1,4,0,0.00,1,0.1,3,1.5,0.16,15,2.49,0.39,0.6,1.1,3,0.50,21,3.48,0.2,20,2.2,1,2,0,0.2,0.87,12,1.99,0.25,38,6.30,6,0.99,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
